time_s,leg,event,phase,planned_support,normal_force_N
0.006,FR,touchdown,stand,True,46.77786371140439
0.006,RL,touchdown,stand,True,52.15307365537252
0.006,RR,touchdown,stand,True,43.991311072036
0.008,FL,touchdown,stand,True,49.55954200165401
9.179999999999735,FL,liftoff,unload,True,0.0
21.601999999998906,FL,touchdown,lower,False,1.503965182088746
52.45200000001814,FR,liftoff,next_unload,True,0.0
52.45400000001814,FR,touchdown,next_unload,True,0.9281148574744515
52.47200000001816,FR,liftoff,next_unload,True,0.0
52.474000000018165,FR,touchdown,next_unload,True,0.9165175937036004
52.49400000001819,FR,liftoff,next_unload,True,0.0
52.49600000001819,FR,touchdown,next_unload,True,0.8990162472204267
52.514000000018214,FR,liftoff,next_unload,True,0.0
52.51600000001822,FR,touchdown,next_unload,True,0.8898327490243462
52.532000000018236,FR,liftoff,next_unload,True,0.0
52.53400000001824,FR,touchdown,next_unload,True,0.8850810907813165
52.55000000001826,FR,liftoff,next_unload,True,0.0
52.55200000001826,FR,touchdown,next_unload,True,0.8707959200919105
52.56600000001828,FR,liftoff,next_unload,True,0.0
52.56800000001828,FR,touchdown,next_unload,True,0.8630194935653889
52.5840000000183,FR,liftoff,next_unload,True,0.0
52.5860000000183,FR,touchdown,next_unload,True,0.8556108286753102
52.59800000001832,FR,liftoff,next_unload,True,0.0
52.60000000001832,FR,touchdown,next_unload,True,0.8528778177059917
52.61600000001834,FR,liftoff,next_unload,True,0.0
52.61800000001834,FR,touchdown,next_unload,True,0.8486870009816303
52.630000000018356,FR,liftoff,next_unload,True,0.0
52.63200000001836,FR,touchdown,next_unload,True,0.8529451241434476
52.64800000001838,FR,liftoff,next_unload,True,0.0
52.65000000001838,FR,touchdown,next_unload,True,0.8412560092424793
52.6640000000184,FR,liftoff,next_unload,True,0.0
52.6660000000184,FR,touchdown,next_unload,True,0.8414633785770845
52.68000000001842,FR,liftoff,next_unload,True,0.0
52.68200000001842,FR,touchdown,next_unload,True,0.8413193948206924
52.69800000001844,FR,liftoff,next_unload,True,0.0
52.70000000001844,FR,touchdown,next_unload,True,0.8304634920980367
52.71400000001846,FR,liftoff,next_unload,True,0.0
52.71600000001846,FR,touchdown,next_unload,True,0.8282562343884929
52.73200000001848,FR,liftoff,next_unload,True,0.0
52.73400000001848,FR,touchdown,next_unload,True,0.8210900806021866
52.7500000000185,FR,liftoff,next_unload,True,0.0
52.752000000018505,FR,touchdown,next_unload,True,0.821298107998073
52.77000000001853,FR,liftoff,next_unload,True,0.0
52.77200000001853,FR,touchdown,next_unload,True,0.8089697550576598
52.78800000001855,FR,liftoff,next_unload,True,0.0
52.79000000001855,FR,touchdown,next_unload,True,0.7998766068932721
52.80800000001857,FR,liftoff,next_unload,True,0.0
52.810000000018576,FR,touchdown,next_unload,True,0.7885592482475556
52.8300000000186,FR,liftoff,next_unload,True,0.0
52.8320000000186,FR,touchdown,next_unload,True,0.7768667167853882
52.85200000001863,FR,liftoff,next_unload,True,0.0
52.85400000001863,FR,touchdown,next_unload,True,0.7662047750412524
52.87600000001866,FR,liftoff,next_unload,True,0.0
52.87800000001866,FR,touchdown,next_unload,True,0.7536148839757899
52.90400000001869,FR,liftoff,next_unload,True,0.0
52.90600000001869,FR,touchdown,next_unload,True,0.7388534019916461
52.932000000018725,FR,liftoff,next_unload,True,0.0
52.93400000001873,FR,touchdown,next_unload,True,0.7267642849914487
52.96600000001877,FR,liftoff,next_unload,True,0.0
52.96800000001877,FR,touchdown,next_unload,True,0.7113742207759001
53.00800000001882,FR,liftoff,next_unload,True,0.0
53.01000000001882,FR,touchdown,next_unload,True,0.6939250454691609
53.064000000018886,FR,liftoff,next_lift,False,0.0
53.06600000001889,FR,touchdown,next_lift,False,0.6759187424973777
53.2400000000191,FR,liftoff,next_lift,False,0.0
53.242000000019104,FR,touchdown,next_lift,False,0.5718526224279594
53.30400000001918,FR,liftoff,next_lift,False,0.0
53.30600000001918,FR,touchdown,next_lift,False,0.49478326051967764
53.33000000001921,FR,liftoff,next_lift,False,0.0
53.332000000019214,FR,touchdown,next_lift,False,0.4568877605255541
53.34800000001923,FR,liftoff,next_lift,False,0.0
53.350000000019236,FR,touchdown,next_lift,False,0.42937224308358374
53.36200000001925,FR,liftoff,next_lift,False,0.0
53.36400000001925,FR,touchdown,next_lift,False,0.404684335592917
53.37200000001926,FR,liftoff,next_lift,False,0.0
53.374000000019265,FR,touchdown,next_lift,False,0.3885386933979274
53.38400000001928,FR,liftoff,next_lift,False,0.0
53.38800000001928,FR,touchdown,next_lift,False,0.3714517570754648
53.4020000000193,FR,liftoff,next_lift,False,0.0
53.40800000001931,FR,touchdown,next_lift,False,0.33506765860701937
53.42000000001932,FR,liftoff,next_lift,False,0.0
53.42600000001933,FR,touchdown,next_lift,False,0.2909120072690943
53.432000000019336,FR,liftoff,next_lift,False,0.0
53.43600000001934,FR,touchdown,next_lift,False,0.2627368539453256
53.43800000001934,FR,liftoff,next_lift,False,0.0
53.440000000019346,FR,touchdown,next_lift,False,0.2543240811396794
53.44200000001935,FR,liftoff,next_lift,False,0.0
53.44400000001935,FR,touchdown,next_lift,False,0.2403307552556375
53.44600000001935,FR,liftoff,next_lift,False,0.0
53.45200000001936,FR,touchdown,next_lift,False,0.22538269077585635
53.456000000019365,FR,liftoff,next_lift,False,0.0
53.472000000019385,FR,touchdown,next_lift,False,0.1734570286864465
53.47400000001939,FR,liftoff,next_lift,False,0.0
