trial_id,case_id,probe_policy,seed,condition_role,outcome,physical_success,pad_damaged,hidden_capacity_n,minimum_future_load_n,minimum_sufficient_test_target_n,selected_additional_probe_target_n,maximum_actual_probe_force_n,maximum_measured_probe_force_n,maximum_commanded_probe_force_n,maximum_certified_force_n,maximum_actual_future_pad_force_n,probe_time_s,deliberate_probe_time_s,additional_probe_time_s,recovery_time_s,total_trial_time_s,recovery_unload_delay_s,recovery_stable_hold_s,maximum_pad_displacement_m,pad_failure_time_s,pad_failure_phase,final_forward_com_motion_m,maximum_next_foot_clearance_m,simultaneous_progress_hold_s
capacity48p5_maximum_feasible_seed211,capacity48p5,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,48.5,40.56838640768366,49.56938640768366,53.13733087643602,48.63525570601346,47.97866962092512,53.13733087643602,10.506100647815158,,16.188,8.934000000000001,7.982,5.104,43.342000000007005,0.0,3.344000000004084,0.05999999999999999,38.21600000000074,probe_ramp,0.08627203674894451,,0.0
capacity48p5_maximum_feasible_seed907,capacity48p5,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,48.5,40.56056844927159,49.56156844927159,53.127249599245765,48.639964526988095,47.99521797062427,53.127249599245765,10.508115272632386,,16.188,8.934000000000001,7.982,5.104,43.33000000000699,0.0,3.3420000000040817,0.05999999999999999,38.204000000000725,probe_ramp,0.0862741398242535,,0.0
capacity48p5_minimum_sufficient_seed211,capacity48p5,minimum_sufficient,211,held_out,RECOVERED_STOP,False,True,48.5,40.56838640768366,49.56938640768366,50.56938640768366,48.56051750153789,48.10925456456487,50.56938640768366,10.506100647815158,,16.42,9.118,8.214,5.104,43.57400000000729,0.0,3.3500000000040915,0.05999999999999999,38.448000000001024,probe_ramp,0.0798853013748503,,0.0
capacity48p5_minimum_sufficient_seed907,capacity48p5,minimum_sufficient,907,held_out,RECOVERED_STOP,False,True,48.5,40.56056844927159,49.56156844927159,50.56156844927159,48.5743864923537,48.16079259919445,50.56156844927159,10.508115272632386,,16.422,9.120000000000001,8.216,5.104,43.564000000007276,0.0,3.3460000000040866,0.05999999999999999,38.43800000000101,probe_ramp,0.07989494426040865,,0.0
capacity49p5_maximum_feasible_seed211,capacity49p5,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,49.5,40.56838640768366,49.56938640768366,53.13733087643602,49.63384800928913,49.07380952057992,53.13733087643602,10.506100647815158,,16.258,9.004,8.052,5.104,43.41200000000709,0.0,3.3460000000040866,0.05999999999999999,38.286000000000826,probe_ramp,0.08643758724329446,,0.0
capacity49p5_maximum_feasible_seed907,capacity49p5,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,49.5,40.56056844927159,49.56156844927159,53.127249599245765,49.62080913123609,49.159242819400085,53.127249599245765,10.508115272632386,,16.256,9.002,8.05,5.104,43.39800000000707,0.0,3.344000000004084,0.05999999999999999,38.27200000000081,probe_ramp,0.08643487345153368,,0.0
capacity49p5_minimum_sufficient_seed211,capacity49p5,minimum_sufficient,211,held_out,RECOVERED_STOP,False,True,49.5,40.56838640768366,49.56938640768366,50.56938640768366,49.520377876667254,49.027278543538856,50.56938640768366,10.506100647815158,,16.580000000000002,9.278,8.374,5.104,43.734000000007484,0.0,3.352000000004094,0.05999999999999999,38.60800000000122,probe_ramp,0.07999840147737382,,0.0
capacity49p5_minimum_sufficient_seed907,capacity49p5,minimum_sufficient,907,held_out,RECOVERED_STOP,False,True,49.5,40.56056844927159,49.56156844927159,50.56156844927159,49.52924192365762,49.02972822023269,50.56156844927159,10.508115272632386,,16.582,9.28,8.376,5.104,43.72400000000747,0.0,3.348000000004089,0.05999999999999999,38.59800000000121,probe_ramp,0.08000688769148412,,0.0
capacity50p5_maximum_feasible_seed211,capacity50p5,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,50.5,40.56838640768366,49.56938640768366,53.13733087643602,50.6197555781044,50.211976674080475,53.13733087643602,10.506100647815158,,16.334,9.08,8.128,5.104,43.48800000000718,0.0,3.3500000000040915,0.05999999999999999,38.360000000000916,probe_ramp,0.08661636454786314,,0.0
capacity50p5_maximum_feasible_seed907,capacity50p5,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,50.5,40.56056844927159,49.56156844927159,53.127249599245765,50.57329449686244,50.08381288367915,53.127249599245765,10.508115272632386,,16.334,9.08,8.128,5.104,43.47600000000717,0.0,3.3460000000040866,0.05999999999999999,38.3480000000009,probe_ramp,0.0866182520644021,,0.0
capacity50p5_minimum_sufficient_seed211,capacity50p5,minimum_sufficient,211,held_out,RECOVERED_STOP,False,True,50.5,40.56838640768366,49.56938640768366,50.56938640768366,50.548857969038345,50.12752694003021,50.56938640768366,10.506100647815158,,16.922,9.620000000000001,8.716,5.104,44.0760000000079,0.0,3.3540000000040964,0.05999999999999999,38.948000000001635,probe_ramp,0.08074024195091284,,0.0
capacity50p5_minimum_sufficient_seed907,capacity50p5,minimum_sufficient,907,held_out,RECOVERED_STOP,False,True,50.5,40.56056844927159,49.56156844927159,50.56156844927159,50.54478554593429,50.06796470574682,50.56156844927159,10.508115272632386,,16.924,9.622,8.718,5.104,44.06600000000789,0.0,3.352000000004094,0.05999999999999999,38.93800000000162,probe_ramp,0.08073770442193538,,0.0
capacity51p0_maximum_feasible_seed211,capacity51p0,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,51.0,40.56838640768366,49.56938640768366,53.13733087643602,51.08307657533026,50.613288348661435,53.13733087643602,10.506100647815158,,16.382,9.128,8.176,5.104,43.53600000000724,0.0,3.348000000004089,0.05999999999999999,38.408000000000975,probe_ramp,0.08670330234245822,,0.0
capacity51p0_maximum_feasible_seed907,capacity51p0,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,51.0,40.56056844927159,49.56156844927159,53.127249599245765,51.086282486215744,50.63076069052172,53.127249599245765,10.508115272632386,,16.382,9.128,8.176,5.104,43.52400000000723,0.0,3.3460000000040866,0.05999999999999999,38.39600000000096,probe_ramp,0.08670582383265106,,0.0
capacity51p0_minimum_sufficient_seed211,capacity51p0,minimum_sufficient,211,held_out,RECOVERED_STOP,False,True,51.0,40.56838640768366,49.56938640768366,50.56938640768366,51.00801269446829,50.57191268500921,50.56938640768366,10.506100647815158,,17.072,9.77,8.866,5.104,44.226000000008085,0.0,3.3540000000040964,0.05999999999999999,39.09800000000182,probe_ramp,0.0816017996837905,,0.0
capacity51p0_minimum_sufficient_seed907,capacity51p0,minimum_sufficient,907,held_out,RECOVERED_STOP,False,True,51.0,40.56056844927159,49.56156844927159,50.56156844927159,51.01060028157834,50.588142007152555,50.56156844927159,10.508115272632386,,17.084,9.782,8.878,5.104,44.226000000008085,0.0,3.352000000004094,0.05999999999999999,39.09800000000182,probe_ramp,0.08164049798797457,,0.0
capacity52p0_maximum_feasible_seed211,capacity52p0,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,52.0,40.56838640768366,49.56938640768366,53.13733087643602,52.02113776383291,51.54110174875508,53.13733087643602,10.506100647815158,,16.532,9.278,8.326,5.104,43.686000000007425,0.0,3.3500000000040915,0.05999999999999999,38.55800000000116,probe_ramp,0.08680074966559923,,0.0
capacity52p0_maximum_feasible_seed907,capacity52p0,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,52.0,40.56056844927159,49.56156844927159,53.127249599245765,52.028702747206154,51.512842115437266,53.127249599245765,10.508115272632386,,16.534,9.28,8.328,5.104,43.67600000000741,0.0,3.348000000004089,0.05999999999999999,38.548000000001146,probe_ramp,0.08680576155956057,,0.0
capacity52p0_minimum_sufficient_seed211,capacity52p0,minimum_sufficient,211,held_out,SUCCESS,True,False,52.0,40.56838640768366,49.56938640768366,50.56938640768366,51.057454309499136,50.638502915234255,50.56938640768366,48.98834862367172,40.846817288425356,21.506,12.004,13.3,0.0,57.392000000024176,,0.0,-0.0,,,0.0399901079827654,0.029725984388380353,3.122000000003813
capacity52p0_minimum_sufficient_seed907,capacity52p0,minimum_sufficient,907,held_out,SUCCESS,True,False,52.0,40.56056844927159,49.56156844927159,50.56156844927159,51.046580173613975,50.637515237639185,50.56156844927159,48.9965465783671,40.84619212528129,21.506,12.004,13.3,0.0,57.456000000024254,,0.0,-0.0,,,0.03997659810869239,0.029723728813933273,3.122000000003813
capacity53p0_maximum_feasible_seed211,capacity53p0,maximum_feasible,211,held_out,RECOVERED_STOP,False,True,53.0,40.56838640768366,49.56938640768366,53.13733087643602,53.057834658175196,52.655669383708315,53.13733087643602,10.506100647815158,,16.848,9.594,8.642,5.104,44.00200000000781,0.0,3.352000000004094,0.05999999999999999,38.874000000001544,probe_ramp,0.08751127974542193,,0.0
capacity53p0_maximum_feasible_seed907,capacity53p0,maximum_feasible,907,held_out,RECOVERED_STOP,False,True,53.0,40.56056844927159,49.56156844927159,53.127249599245765,53.05305885001101,52.61582608124546,53.127249599245765,10.508115272632386,,16.85,9.596,8.644,5.104,43.9920000000078,0.0,3.3500000000040915,0.05999999999999999,38.86400000000153,probe_ramp,0.08750565546067168,,0.0
capacity53p0_minimum_sufficient_seed211,capacity53p0,minimum_sufficient,211,held_out,SUCCESS,True,False,53.0,40.56838640768366,49.56938640768366,50.56938640768366,51.057454309499136,50.638502915234255,50.56938640768366,48.98834862367172,40.846817288425356,21.506,12.004,13.3,0.0,57.392000000024176,,0.0,-0.0,,,0.0399901079827654,0.029725984388380353,3.122000000003813
capacity53p0_minimum_sufficient_seed907,capacity53p0,minimum_sufficient,907,held_out,SUCCESS,True,False,53.0,40.56056844927159,49.56156844927159,50.56156844927159,51.046580173613975,50.637515237639185,50.56156844927159,48.9965465783671,40.84619212528129,21.506,12.004,13.3,0.0,57.456000000024254,,0.0,-0.0,,,0.03997659810869239,0.029723728813933273,3.122000000003813
