case_id,strategy,failure_threshold_n,probe_command_limit_n,seed,outcome,expected_outcome_met,physical_success,maximum_certified_force_n,maximum_actual_future_pad_force_n,maximum_forward_com_motion_m,maximum_next_foot_clearance_m,simultaneous_progress_hold_s,maximum_pad_sink_m
capacity25_probe20,unaware,25.0,20.0,17,PROBLEM_COLLAPSE,True,False,,28.791322545952642,-0.013983245166616334,-0.0018951778541704545,0.0,0.015399999999991469
capacity25_probe20,conservative,25.0,20.0,17,SAFE_STOP,True,False,19.406861589255342,11.372710971144356,0.001807043127836097,0.00027705558839069555,0.0,-0.0
capacity25_probe20,adaptive,25.0,20.0,17,SUCCESS,True,True,19.406861589255342,17.676005629728337,0.042073060828515446,0.028608451974494617,2.9820000000036417,-0.0
capacity25_probe22,unaware,25.0,22.0,17,PROBLEM_COLLAPSE,True,False,,28.791322545952642,-0.013983245166616334,-0.0018951778541704545,0.0,0.015399999999991469
capacity25_probe22,conservative,25.0,22.0,17,SAFE_STOP,True,False,21.467081665114414,12.092192106707342,0.0018939354565573052,0.0002973714270983058,0.0,-0.0
capacity25_probe22,adaptive,25.0,22.0,17,SUCCESS,True,True,21.467081665114414,19.72439481579042,0.04199534769386403,0.02904765499461931,2.9800000000036393,-0.0
capacity27_probe24,unaware,27.0,24.0,17,PROBLEM_COLLAPSE,True,False,,31.42038802105527,-0.009115739730478469,-0.0018951778541704545,0.0,0.015399999999991469
capacity27_probe24,conservative,27.0,24.0,17,SAFE_STOP,True,False,23.525620804547543,12.10805932083837,0.0019326734540323492,0.0002973257681436331,0.0,-0.0
capacity27_probe24,adaptive,27.0,24.0,17,SUCCESS,True,True,23.525620804547543,21.52414410906137,0.041951614404769196,0.02922072036994329,2.9760000000036344,-0.0
capacity35_probe12,conservative,35.0,12.0,17,SAFE_STOP,True,False,11.196733336934505,3.116739084869649,0.001160955794573218,1.5058964770303662e-05,0.0,-0.0
capacity35_probe12,adaptive,35.0,12.0,17,SUCCESS,True,True,30.191321260079253,27.521766642276912,0.04224152339141287,0.029476887706512495,2.9640000000036197,-0.0
