trial_id,condition_role,outcome,physical_success,expected_outcome_met,maximum_certified_force_n,maximum_actual_future_pad_force_n,maximum_forward_com_motion_m,maximum_next_foot_clearance_m,final_forward_com_motion_m,simultaneous_progress_min_forward_m,simultaneous_progress_max_forward_m,simultaneous_progress_hold_s,probe_time_s,additional_probe_count,recovery_unload_delay_s,recovery_stable_hold_s
rl_layout_a_capacity38_fixed_probe_seed101,held_out,SUCCESS,True,True,21.937367347923647,15.519773246810788,0.04267799285722226,0.028945701907313673,0.04031822681178217,0.04026283442707484,0.040372758495290775,2.9640000000036197,8.206,0,,0.0
rl_layout_a_capacity38_fixed_probe_seed509,held_out,SUCCESS,True,True,21.951889519219947,15.530913958931476,0.042677779871992325,0.02894737789519014,0.04032231397033399,0.0402665690794023,0.04037592158221283,2.9640000000036197,8.206,0,,0.0
rl_layout_a_capacity38_adaptive_force_fixed_posture_seed101,held_out,SUCCESS,True,True,21.937367347923647,15.519773246810788,0.04267799285722226,0.028945701907313673,0.04031822681178217,0.04026283442707484,0.040372758495290775,2.9640000000036197,8.206,0,,0.0
rl_layout_a_capacity38_adaptive_force_fixed_posture_seed509,held_out,SUCCESS,True,True,21.951889519219947,15.530913958931476,0.042677779871992325,0.02894737789519014,0.04032231397033399,0.0402665690794023,0.04037592158221283,2.9640000000036197,8.206,0,,0.0
rl_layout_a_capacity38_adaptive_probe_seed101,held_out,SUCCESS,True,True,21.937367347923647,15.519773246810788,0.04267799285722226,0.028945701907313673,0.04031822681178217,0.04026283442707484,0.040372758495290775,2.9640000000036197,8.206,0,,0.0
rl_layout_a_capacity38_adaptive_probe_seed509,held_out,SUCCESS,True,True,21.951889519219947,15.530913958931476,0.042677779871992325,0.02894737789519014,0.04032231397033399,0.0402665690794023,0.04037592158221283,2.9640000000036197,8.206,0,,0.0
rl_layout_b_capacity32_fixed_probe_seed101,held_out,SUCCESS,True,True,22.830065505633304,16.27510494211532,0.04310894828185561,0.02901402936991096,0.04116484524134362,0.04103347584896424,0.04116484524134362,2.9640000000036197,8.206,0,,0.0
rl_layout_b_capacity32_fixed_probe_seed509,held_out,SUCCESS,True,True,22.827357158010603,16.274168073594048,0.043108750281926594,0.029013726834058784,0.04116414175524746,0.04103262711905211,0.04116414175524746,2.9640000000036197,8.206,0,,0.0
rl_layout_b_capacity32_adaptive_force_fixed_posture_seed101,held_out,SUCCESS,True,True,22.830065505633304,16.27510494211532,0.04310894828185561,0.02901402936991096,0.04116484524134362,0.04103347584896424,0.04116484524134362,2.9640000000036197,8.206,0,,0.0
rl_layout_b_capacity32_adaptive_force_fixed_posture_seed509,held_out,SUCCESS,True,True,22.827357158010603,16.274168073594048,0.043108750281926594,0.029013726834058784,0.04116414175524746,0.04103262711905211,0.04116414175524746,2.9640000000036197,8.206,0,,0.0
