time_s,leg,event,phase,planned_support,normal_force_N
0.006,FL,touchdown,stand,True,42.59048113399293
0.006,FR,touchdown,stand,True,46.56700824886604
0.006,RL,touchdown,stand,True,44.91129300103438
0.006,RR,touchdown,stand,True,45.710304273597345
9.623999999999883,FL,liftoff,unload,True,0.0
21.589999999998913,FL,touchdown,lower,False,1.507083226398915
23.969999999997594,FL,liftoff,probe_ramp,True,0.0
23.981999999997587,FL,touchdown,probe_ramp,True,12.857200079755152
23.997999999997578,FL,liftoff,recovery_unload,False,0.0
