time_s,leg,event,phase,planned_support,normal_force_N
0.006,FR,touchdown,stand,True,46.77786371140439
0.006,RL,touchdown,stand,True,52.15307365537252
0.006,RR,touchdown,stand,True,43.991311072036
0.008,FL,touchdown,stand,True,49.55954200165401
9.179999999999735,FL,liftoff,unload,True,0.0
21.601999999998906,FL,touchdown,lower,False,1.503965182088746
52.23200000001787,FR,liftoff,next_unload,True,0.0
52.23400000001787,FR,touchdown,next_unload,True,1.0671964827403866
52.24200000001788,FR,liftoff,next_unload,True,0.0
52.244000000017884,FR,touchdown,next_unload,True,1.0714073293305764
52.260000000017904,FR,liftoff,next_unload,True,0.0
52.262000000017906,FR,touchdown,next_unload,True,1.0350232954496341
52.27400000001792,FR,liftoff,next_unload,True,0.0
52.27600000001792,FR,touchdown,next_unload,True,1.0157854138304314
52.286000000017935,FR,liftoff,next_unload,True,0.0
52.28800000001794,FR,touchdown,next_unload,True,0.9993608141512791
52.30000000001795,FR,liftoff,next_unload,True,0.0
52.302000000017955,FR,touchdown,next_unload,True,0.97746860532854
52.310000000017965,FR,liftoff,next_unload,True,0.0
52.31200000001797,FR,touchdown,next_unload,True,0.9714036334528442
52.32200000001798,FR,liftoff,next_unload,True,0.0
52.32400000001798,FR,touchdown,next_unload,True,0.9458181797226591
52.33200000001799,FR,liftoff,next_unload,True,0.0
52.334000000017994,FR,touchdown,next_unload,True,0.9339947456419245
52.344000000018006,FR,liftoff,next_unload,True,0.0
52.34800000001801,FR,touchdown,next_unload,True,0.952041747069698
52.36600000001803,FR,liftoff,next_unload,True,0.0
52.37000000001804,FR,touchdown,next_unload,True,0.9090435614454232
52.38200000001805,FR,liftoff,next_unload,True,0.0
52.384000000018055,FR,touchdown,next_unload,True,0.8592097213592337
52.39000000001806,FR,liftoff,next_unload,True,0.0
52.392000000018065,FR,touchdown,next_unload,True,0.8580954663010006
52.39800000001807,FR,liftoff,next_unload,True,0.0
52.400000000018075,FR,touchdown,next_unload,True,0.855692117455181
52.408000000018085,FR,liftoff,next_unload,True,0.0
52.41000000001809,FR,touchdown,next_unload,True,0.8255736186449337
52.416000000018094,FR,liftoff,next_unload,True,0.0
52.4180000000181,FR,touchdown,next_unload,True,0.8212778349684053
52.424000000018104,FR,liftoff,next_unload,True,0.0
52.42600000001811,FR,touchdown,next_unload,True,0.8177571439798971
52.434000000018116,FR,liftoff,next_unload,True,0.0
52.43600000001812,FR,touchdown,next_unload,True,0.8035196805585608
52.440000000018124,FR,liftoff,next_unload,True,0.0
52.442000000018126,FR,touchdown,next_unload,True,0.8121624642787031
52.45200000001814,FR,liftoff,next_unload,True,0.0
52.45600000001814,FR,touchdown,next_unload,True,0.8192383326426641
52.47000000001816,FR,liftoff,next_unload,True,0.0
52.474000000018165,FR,touchdown,next_unload,True,0.8006860629082168
52.48600000001818,FR,liftoff,next_unload,True,0.0
52.490000000018185,FR,touchdown,next_unload,True,0.7849770491691777
52.5020000000182,FR,liftoff,next_unload,True,0.0
52.5040000000182,FR,touchdown,next_unload,True,0.7479097637102972
52.50800000001821,FR,liftoff,next_unload,True,0.0
52.51000000001821,FR,touchdown,next_unload,True,0.755807012091505
52.51600000001822,FR,liftoff,next_unload,True,0.0
52.51800000001822,FR,touchdown,next_unload,True,0.741298079226986
52.52600000001823,FR,liftoff,next_unload,True,0.0
52.530000000018234,FR,touchdown,next_unload,True,0.7557423249955494
52.54400000001825,FR,liftoff,next_unload,True,0.0
52.548000000018256,FR,touchdown,next_unload,True,0.7386179760336229
52.56000000001827,FR,liftoff,next_unload,True,0.0
52.564000000018275,FR,touchdown,next_unload,True,0.7320088854020298
52.57600000001829,FR,liftoff,next_unload,True,0.0
52.580000000018295,FR,touchdown,next_unload,True,0.7123747928676956
52.59200000001831,FR,liftoff,next_unload,True,0.0
52.59400000001831,FR,touchdown,next_unload,True,0.6845840810605329
52.59800000001832,FR,liftoff,next_unload,True,0.0
52.60000000001832,FR,touchdown,next_unload,True,0.692136120017847
52.60800000001833,FR,liftoff,next_unload,True,0.0
52.612000000018334,FR,touchdown,next_unload,True,0.6970264217267167
52.62600000001835,FR,liftoff,next_unload,True,0.0
52.630000000018356,FR,touchdown,next_unload,True,0.6861093982146442
52.64200000001837,FR,liftoff,next_unload,True,0.0
52.64400000001837,FR,touchdown,next_unload,True,0.6638246174984321
52.64800000001838,FR,liftoff,next_unload,True,0.0
52.65000000001838,FR,touchdown,next_unload,True,0.6706812576161243
52.65800000001839,FR,liftoff,next_unload,True,0.0
