trial_id,run_id,planner,actual_height_m,initial_estimate_m,sensor_profile,seed,status,attempted,passed,run_directory,error,failed_criteria,source_sha256,model_sha256,peak_normal_force_first_100ms_n,normal_impulse_first_100ms_ns,maximum_roll_pitch_change_during_landing_deg,maximum_com_reference_error_during_landing_m,lowering_to_touchdown_s,lowering_to_completion_s,completion_time_s,height_belief_error_at_contact_confirmation_m,planner_mean_compute_time_s,planner_maximum_compute_time_s,reference_projection_count,planner_fallback_count,observed_contact_timing,missing_contact_observed
heldout_reactive_h-7.5mm_clean,pad_reactive_20260921T074309_905575Z,reactive,-0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_reactive_20260921T074309_905575Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.459323500884382,0.13136354410581902,0.4751688543647192,0.01503441138228638,5.3019999999970615,15.013999999992954,32.71799999999402,0.0006618579843613581,0.0001441194999642903,0.00016531099936401006,3.0,0.0,late,True
heldout_predictive_h-7.5mm_clean,pad_predictive_20260921T074351_535116Z,predictive,-0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_predictive_20260921T074351_535116Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4667696699362567,0.1319065319120913,0.4761711004553212,0.015023285461182218,5.305999999997059,15.05999999999301,32.76399999999408,0.000664205938498981,0.0015533748570695544,0.002685243000087212,0.0,0.0,late,True
heldout_learned_h-7.5mm_clean,pad_learned_20260921T074431_595543Z,learned,-0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_learned_20260921T074431_595543Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,dbd348e8f86bba50f1374b135816b8b0bec86af86d3496dac223dd3db585f5c5,1.437992870575754,0.12644871562434026,0.45685061906537366,0.015145199131662075,5.221999999997106,14.955999999992883,32.65999999999395,0.0006617501931293988,0.000471156945406454,0.0008789809999143472,22.0,28.0,late,True
heldout_reactive_h+7.5mm_clean,pad_reactive_20260921T074511_234520Z,reactive,0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_reactive_20260921T074511_234520Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.419958556049636,0.128243457716724,0.5151421321212798,0.015036662632847012,2.9939999999983407,12.733999999992943,30.43799999999401,0.0006168879579117846,0.00014681741104390287,0.00017563199980941135,13.0,0.0,early,False
heldout_predictive_h+7.5mm_clean,pad_predictive_20260921T074548_342858Z,predictive,0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_predictive_20260921T074548_342858Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,,1.4456952279100468,0.12997882959529633,0.5169347346125692,0.015082685749349203,2.9959999999983395,12.895999999992853,30.59999999999392,0.0006759052408278864,0.001552497661765194,0.005507423000381095,5.0,0.0,early,False
heldout_learned_h+7.5mm_clean,pad_learned_20260921T074625_602021Z,learned,0.0075,0.0,clean,17,completed,True,True,/home/ibrahim/Documents/GO-2 PRIMP/primp_project/results/landing_pad/study/held_out_heights/recordings/pad_learned_20260921T074625_602021Z,,,01d9de9112da805eb9590f2e13439d3f0584415016fc0c2b5c661161074f5cb0,dbd348e8f86bba50f1374b135816b8b0bec86af86d3496dac223dd3db585f5c5,1.5391898258730603,0.12869837687387045,0.5311218043743626,0.015028358667947722,3.245999999998201,13.033999999992776,30.737999999993843,0.0006372928236310482,0.00047640472379690006,0.0007721679994574515,9.0,2.0,early,False
