time_s,leg,event,phase,planned_support,normal_force_N
0.006,FR,touchdown,stand,True,46.77786371140439
0.006,RL,touchdown,stand,True,52.15307365537252
0.006,RR,touchdown,stand,True,43.991311072036
0.008,FL,touchdown,stand,True,49.55954200165401
9.179999999999735,FL,liftoff,unload,True,0.0
21.601999999998906,FL,touchdown,lower,False,1.5257505281690666
52.262000000017906,FR,liftoff,next_unload,True,0.0
52.26400000001791,FR,touchdown,next_unload,True,1.0231684011669269
52.278000000017926,FR,liftoff,next_unload,True,0.0
52.28000000001793,FR,touchdown,next_unload,True,1.0107642557778482
52.29600000001795,FR,liftoff,next_unload,True,0.0
52.29800000001795,FR,touchdown,next_unload,True,0.9794608143472759
52.31200000001797,FR,liftoff,next_unload,True,0.0
52.31400000001797,FR,touchdown,next_unload,True,0.9592758701736366
52.32800000001799,FR,liftoff,next_unload,True,0.0
52.33000000001799,FR,touchdown,next_unload,True,0.9373043099584822
52.340000000018,FR,liftoff,next_unload,True,0.0
52.342000000018004,FR,touchdown,next_unload,True,0.9298861501703403
52.35400000001802,FR,liftoff,next_unload,True,0.0
52.35600000001802,FR,touchdown,next_unload,True,0.9115216943396495
52.368000000018036,FR,liftoff,next_unload,True,0.0
52.37000000001804,FR,touchdown,next_unload,True,0.8915659468992884
52.37800000001805,FR,liftoff,next_unload,True,0.0
52.38000000001805,FR,touchdown,next_unload,True,0.8847765085380548
52.39000000001806,FR,liftoff,next_unload,True,0.0
52.392000000018065,FR,touchdown,next_unload,True,0.8762463568334273
52.40200000001808,FR,liftoff,next_unload,True,0.0
52.40400000001808,FR,touchdown,next_unload,True,0.8655679083634175
52.41400000001809,FR,liftoff,next_unload,True,0.0
52.416000000018094,FR,touchdown,next_unload,True,0.8542213958373135
52.424000000018104,FR,liftoff,next_unload,True,0.0
52.42600000001811,FR,touchdown,next_unload,True,0.8507530017331556
52.43600000001812,FR,liftoff,next_unload,True,0.0
52.43800000001812,FR,touchdown,next_unload,True,0.8374446405600836
52.44600000001813,FR,liftoff,next_unload,True,0.0
52.44800000001813,FR,touchdown,next_unload,True,0.8328280273381181
52.45600000001814,FR,liftoff,next_unload,True,0.0
52.458000000018146,FR,touchdown,next_unload,True,0.8274719058455818
52.46800000001816,FR,liftoff,next_unload,True,0.0
52.47000000001816,FR,touchdown,next_unload,True,0.8154878690683204
52.47800000001817,FR,liftoff,next_unload,True,0.0
52.48000000001817,FR,touchdown,next_unload,True,0.7976639957536883
52.48800000001818,FR,liftoff,next_unload,True,0.0
52.490000000018185,FR,touchdown,next_unload,True,0.7907024953818014
52.498000000018195,FR,liftoff,next_unload,True,0.0
52.5000000000182,FR,touchdown,next_unload,True,0.7849629704336465
52.50800000001821,FR,liftoff,next_unload,True,0.0
52.51000000001821,FR,touchdown,next_unload,True,0.7792929440130993
52.51800000001822,FR,liftoff,next_unload,True,0.0
52.52000000001822,FR,touchdown,next_unload,True,0.7734383525413321
52.530000000018234,FR,liftoff,next_unload,True,0.0
52.53400000001824,FR,touchdown,next_unload,True,0.7993490731874761
52.55400000001826,FR,liftoff,next_unload,True,0.0
52.55800000001827,FR,touchdown,next_unload,True,0.7766956480377339
52.57400000001829,FR,liftoff,next_unload,True,0.0
52.57800000001829,FR,touchdown,next_unload,True,0.7685385103688022
52.596000000018314,FR,liftoff,next_unload,True,0.0
52.60000000001832,FR,touchdown,next_unload,True,0.7601518218825284
52.61800000001834,FR,liftoff,next_unload,True,0.0
52.622000000018346,FR,touchdown,next_unload,True,0.7445726744586486
52.64000000001837,FR,liftoff,next_unload,True,0.0
52.64400000001837,FR,touchdown,next_unload,True,0.7415939533476744
52.6640000000184,FR,liftoff,next_unload,True,0.0
52.6680000000184,FR,touchdown,next_unload,True,0.7244709831012728
52.686000000018424,FR,liftoff,next_unload,True,0.0
52.68800000001843,FR,touchdown,next_unload,True,0.6898906902858323
52.69600000001844,FR,liftoff,next_unload,True,0.0
52.69800000001844,FR,touchdown,next_unload,True,0.6894925929855232
52.710000000018454,FR,liftoff,next_unload,True,0.0
52.712000000018456,FR,touchdown,next_unload,True,0.6833527532353865
52.72200000001847,FR,liftoff,next_unload,True,0.0
52.72400000001847,FR,touchdown,next_unload,True,0.6802733360744403
52.736000000018485,FR,liftoff,next_unload,True,0.0
52.73800000001849,FR,touchdown,next_unload,True,0.6727987577112539
52.7500000000185,FR,liftoff,next_unload,True,0.0
52.752000000018505,FR,touchdown,next_unload,True,0.6687992040388415
52.76400000001852,FR,liftoff,next_unload,True,0.0
