time_s,leg,event,phase,planned_support,normal_force_N
0.006,FR,touchdown,stand,True,45.77048495203626
0.006,RL,touchdown,stand,True,55.70354924319493
0.006,RR,touchdown,stand,True,43.86582483929038
0.008,FL,touchdown,stand,True,50.599115862719415
9.129999999999718,FL,liftoff,unload,True,0.0
21.59599999999891,FL,touchdown,lower,False,1.4953230331661498
51.94000000001751,FR,liftoff,next_unload,True,0.0
51.942000000017515,FR,touchdown,next_unload,True,1.0325869105157612
51.950000000017525,FR,liftoff,next_unload,True,0.0
51.95200000001753,FR,touchdown,next_unload,True,1.0396303860992688
51.966000000017544,FR,liftoff,next_unload,True,0.0
51.96800000001755,FR,touchdown,next_unload,True,1.005614276185694
51.97600000001756,FR,liftoff,next_unload,True,0.0
51.97800000001756,FR,touchdown,next_unload,True,0.9952934412152783
51.98800000001757,FR,liftoff,next_unload,True,0.0
51.990000000017574,FR,touchdown,next_unload,True,0.9699161097023893
51.99800000001758,FR,liftoff,next_unload,True,0.0
52.000000000017586,FR,touchdown,next_unload,True,0.9547502550905614
52.008000000017596,FR,liftoff,next_unload,True,0.0
52.0100000000176,FR,touchdown,next_unload,True,0.9383642617887447
52.0140000000176,FR,liftoff,next_unload,True,0.0
52.016000000017605,FR,touchdown,next_unload,True,0.947496082710617
52.02600000001762,FR,liftoff,next_unload,True,0.0
52.02800000001762,FR,touchdown,next_unload,True,0.9150902003232849
52.032000000017625,FR,liftoff,next_unload,True,0.0
52.03400000001763,FR,touchdown,next_unload,True,0.9242770276558661
52.04200000001764,FR,liftoff,next_unload,True,0.0
52.04400000001764,FR,touchdown,next_unload,True,0.9035630382972365
52.048000000017645,FR,liftoff,next_unload,True,0.0
52.05000000001765,FR,touchdown,next_unload,True,0.9138310012951637
52.05800000001766,FR,liftoff,next_unload,True,0.0
52.06200000001766,FR,touchdown,next_unload,True,0.9071442365089607
52.074000000017676,FR,liftoff,next_unload,True,0.0
52.07800000001768,FR,touchdown,next_unload,True,0.8818352472465618
52.08800000001769,FR,liftoff,next_unload,True,0.0
52.0920000000177,FR,touchdown,next_unload,True,0.8539573953473483
52.10000000001771,FR,liftoff,next_unload,True,0.0
52.10400000001771,FR,touchdown,next_unload,True,0.859339807894227
52.114000000017725,FR,liftoff,next_unload,True,0.0
52.11800000001773,FR,touchdown,next_unload,True,0.8299406625870266
52.12600000001774,FR,liftoff,next_unload,True,0.0
52.130000000017745,FR,touchdown,next_unload,True,0.8093431385496722
52.138000000017755,FR,liftoff,next_unload,True,0.0
52.14200000001776,FR,touchdown,next_unload,True,0.7993662170167299
52.15000000001777,FR,liftoff,next_unload,True,0.0
52.154000000017774,FR,touchdown,next_unload,True,0.7998794329795922
52.162000000017784,FR,liftoff,next_unload,True,0.0
52.16600000001779,FR,touchdown,next_unload,True,0.7778737963746778
